"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"436",15,"Emanuel Wilson",GB,"RB105","26","320","379","348.0","23.4","-"
"437",15,"Chris Rodriguez Jr.",WAS,"RB106","25","233","323","278.0","45.0","-"
"438",15,"Chris Brooks",GB,"RB107","25","308","385","339.5","28.3","-"
"439",15,"Nick Folk",NYJ,"K29","40","228","338","283.0","55.0","-"
"440",15,"Jacoby Brissett",ARI,"QB60","32","251","320","285.5","34.5","-"
"441",15,"Elijah Higgins",ARI,"TE66","24","273","363","324.0","37.7","-"
"442",15,"Cooper Rush",BAL,"QB61","31","309","342","324.3","13.6","-"
"443",15,"Trey Sermon",PIT,"RB108","26","273","355","325.0","36.9","-"
"444",15,"Gus Edwards",FA,"RB109","30","311","399","345.0","35.1","-"
"445",15,"Jimmy Horn Jr.",CAR,"WR149","22","277","319","298.0","21.0","-174"
"446",15,"Carson Steele",KC,"RB110","22","228","377","302.5","74.5","-"
"447",15,"Johnny Wilson",PHI,"WR150","24","261","386","334.7","53.4","-"
"448",15,"Trey Palmer",TB,"WR151","24","314","408","362.2","30.9","-"
"449",15,"Zay Jones",ARI,"WR152","30","290","322","306.0","16.0","-"
"450",15,"Greg Dulcich",NYG,"TE67","25","298","374","338.3","31.2","-"
"451",15,"Hunter Long",JAC,"TE68","26","289","332","310.5","21.5","-"
"452",15,"Kalif Raymond",DET,"WR153","31","309","312","310.5","1.5","-"
"453",15,"Xavier Hutchinson",HOU,"WR154","25","262","363","312.5","50.5","-"
"454",15,"Rondale Moore",MIN,"WR155","25","320","371","341.0","21.8","-"
"455",15,"Rasheen Ali",BAL,"RB111","24","315","384","341.3","30.4","-"
"456",16,"Dylan Laube",LV,"RB112","25","314","321","317.5","3.5","-"
"457",16,"Michael Carter",ARI,"RB113","26","315","361","344.7","21.0","-"
"458",16,"Donovan Edwards",NYJ,"RB114","22","270","368","319.0","49.0","-"
"459",16,"Emari Demercado",ARI,"RB115","26","306","335","320.5","14.5","-"
"460",16,"Pierre Strong Jr.",CLE,"RB116","26","322","327","324.5","2.5","-"
"461",16,"Andy Dalton",CAR,"QB62","37","317","347","332.0","15.0","-"
"462",16,"Clyde Edwards-Helaire",NO,"RB117","26","319","348","333.5","14.5","-"
"463",16,"Kylen Granson",PHI,"TE69","27","338","388","354.7","23.6","-"
"464",16,"Davis Allen",LAR,"TE70","24","295","380","337.5","42.5","-"
"465",16,"Drew Lock",SEA,"QB63","28","327","348","337.5","10.5","-"
"466",16,"Trey Lance",LAC,"QB64","25","323","357","340.0","17.0","-"
"467",16,"Bub Means",NO,"WR156","24","315","366","340.5","25.5","-"
"468",16,"Israel Abanikanda",GB,"RB118","22","312","373","342.5","30.5","-"
"469",16,"Josh Oliver",MIN,"TE71","28","336","391","363.0","22.5","-"
"470",16,"Harrison Bryant",PHI,"TE72","27","320","378","349.0","29.0","-"
"471",16,"Brevin Jordan",HOU,"TE73","25","330","368","349.0","19.0","-"
"472",16,"Jaheim Bell",NE,"TE74","24","344","373","358.5","14.5","-"
"473",16,"Dominic Lovett",DET,"WR157","22","360","404","382.0","22.0","-"
